"user","valid","amountVote","amountAvailable","voteNumber","unVoteNumber","invalidFromTx","amountBeforeInvalid","amountAfterInvalid","totalReward"
"0x47df55b76cd8cee0b0553f637b3b41dbdaf45cf1",true,0,500,0,0,,,,18644.230265132905
"0x487d62d33467c4842c5e54eb370837e4e88bba0f",true,410,90,5,0,,,,35723.97212203486
"0x6589b842c40cba19be4db7e9ce56329d8ea5c688",true,0,500,0,0,,,,7217.390260516281
"0xa23cebfe11b4b81476b3a1d1516e6da6608585aa",true,0,500,0,0,,,,0
"0xb473edf564da4419b1e9e8b6974dfdb610094c14",true,0,500,0,0,,,,9281.083784316834
"0xc902cc2505faf4537e6252c1ec30a992748bc0d4",true,0,500,0,0,,,,0
"0xca0f0f65369a6034b094c7fbf3ba855165da951b",true,0,500,0,0,,,,0
"0xd5478df3c04f389749282c2844740e93ca6b09cb",true,0,500,0,0,,,,0
"0xe4c3095efdd7163b86d745ad5c6d718a859eec9f",true,0,500,0,0,,,,3405.1175209689072
"0xfe1c468eb19b6d15ecf18af0426df7c4746a8875",true,0,500,0,0,,,,0
